Target,Subject,Data Modality,Classifier,Accuracy,F1-score
Arousal,9,HRV,KNN,0.579882531,0.536001512
Arousal,9,HRV,LinearRidge,0.637330932,0.541275267
Arousal,9,HRV,RF,0.596463439,0.53259239
Arousal,9,IMU,DL,0.669773301,0.589113056
Arousal,9,IMU,GaussianSVM,0.700487668,0.645512616
Arousal,9,IMU,KNN,0.626551688,0.558375987
Arousal,9,IMU,LinearRidge,0.70657915,0.640707265
Arousal,9,IMU,RF,0.687220362,0.586541822
Arousal,9,Mask-All,DL,0.779889655,0.743745186
Arousal,9,Mask-All,GaussianSVM,0.76645086,0.72001786
Arousal,9,Mask-All,KNN,0.683154437,0.66066231
Arousal,9,Mask-All,LinearRidge,0.770752062,0.727072492
Arousal,9,Mask-All,RF,0.823043965,0.79900731
Arousal,10,Annotations,DL,0.79042025,0.760273186
Arousal,10,Annotations,GaussianSVM,0.869047619,0.837524178
Arousal,10,Annotations,KNN,0.845238095,0.807983119
Arousal,10,Annotations,LinearRidge,0.845238095,0.81272509
Arousal,10,Annotations,RF,0.845238095,0.807983119
Arousal,10,EMG A,DL,0.791705,0.760956882
Arousal,10,EMG A,GaussianSVM,0.795715951,0.754487436
Arousal,10,EMG A,KNN,0.773968542,0.74173914
Arousal,10,EMG A,LinearRidge,0.784285812,0.744375751
Arousal,10,EMG A,RF,0.798539078,0.775359429
Arousal,10,EMG C,DL,0.6135991,0.547938462
Arousal,10,EMG C,GaussianSVM,0.651146557,0.549465565
Arousal,10,EMG C,KNN,0.620088413,0.569415292
Arousal,10,EMG C,LinearRidge,0.640015007,0.542710406
Arousal,10,EMG C,RF,0.643712372,0.570781747
Arousal,10,HRV,DL,0.620734507,0.499023051
Arousal,10,HRV,GaussianSVM,0.543795421,0.462390706
Arousal,10,HRV,KNN,0.576032746,0.528536178
Arousal,10,HRV,LinearRidge,0.634528602,0.524877724
Arousal,10,HRV,RF,0.584630611,0.524179002
Arousal,10,IMU,DL,0.679530493,0.595282682
Arousal,10,IMU,GaussianSVM,0.692442016,0.635545709
Arousal,10,IMU,KNN,0.618292826,0.552641316
Arousal,10,IMU,LinearRidge,0.711533706,0.644943388
Arousal,10,IMU,RF,0.696849206,0.596421777
Arousal,10,Mask-All,DL,0.756634184,0.723624021
Arousal,10,Mask-All,GaussianSVM,0.768782926,0.720531815
Arousal,10,Mask-All,KNN,0.6939465,0.673269053
Arousal,10,Mask-All,LinearRidge,0.770880017,0.731628879
Arousal,10,Mask-All,RF,0.801556626,0.771455859
Arousal,11,Annotations,DL,0.795974744,0.773072946
Arousal,11,Annotations,GaussianSVM,0.869047619,0.837524178
Arousal,11,Annotations,KNN,0.869047619,0.837524178
Arousal,11,Annotations,LinearRidge,0.869047619,0.837524178
Arousal,11,Annotations,RF,0.845238095,0.81272509
Arousal,11,EMG A,DL,0.799348946,0.761719142
Arousal,11,EMG A,GaussianSVM,0.794451491,0.751727475
Arousal,11,EMG A,KNN,0.761335162,0.716059031
Arousal,11,EMG A,LinearRidge,0.78457475,0.742633153
Arousal,11,EMG A,RF,0.808618419,0.786712018
Arousal,11,EMG C,DL,0.620491079,0.558341688
Arousal,11,EMG C,GaussianSVM,0.660894174,0.564341756
Arousal,11,EMG C,KNN,0.619834908,0.572267526
Arousal,11,EMG C,LinearRidge,0.635834457,0.558877397
Arousal,11,EMG C,RF,0.649140129,0.555730456
Arousal,11,HRV,DL,0.602826794,0.505368054
Arousal,11,HRV,GaussianSVM,0.553344726,0.487499464
Arousal,11,HRV,KNN,0.578881916,0.536227895
Arousal,11,HRV,LinearRidge,0.647289733,0.550328502
Arousal,11,HRV,RF,0.599291506,0.542354983
Arousal,11,IMU,DL,0.688126105,0.598823056
Arousal,11,IMU,GaussianSVM,0.700655735,0.63072436
Arousal,11,IMU,KNN,0.620009532,0.557108358
Arousal,11,IMU,LinearRidge,0.704627313,0.643524016
Arousal,11,IMU,RF,0.669570944,0.597838107
Arousal,11,Mask-All,DL,0.764633392,0.730594801
Arousal,11,Mask-All,GaussianSVM,0.765735762,0.715556955
Arousal,11,Mask-All,KNN,0.681504316,0.657180969
Arousal,11,Mask-All,LinearRidge,0.768881534,0.721324384
Arousal,11,Mask-All,RF,0.80827353,0.773587907
Arousal,12,Annotations,DL,0.799037307,0.76518521
Arousal,12,Annotations,GaussianSVM,0.869047619,0.837524178
Arousal,12,Annotations,KNN,0.857142857,0.82038489
Arousal,12,Annotations,LinearRidge,0.845238095,0.81272509
Arousal,12,Annotations,RF,0.833333333,0.805039788
Arousal,12,EMG A,DL,0.801599112,0.765471917
Arousal,12,EMG A,GaussianSVM,0.793730455,0.753662587
Arousal,12,EMG A,KNN,0.765539015,0.725506345
Arousal,12,EMG A,LinearRidge,0.783203126,0.741630875
Arousal,12,EMG A,RF,0.803556182,0.776783399
Arousal,12,EMG C,DL,0.651990144,0.547290974
Arousal,12,EMG C,GaussianSVM,0.653295124,0.553210857
Arousal,12,EMG C,KNN,0.604730001,0.558070867
Arousal,12,EMG C,LinearRidge,0.600278494,0.514086413
Arousal,12,EMG C,RF,0.623460138,0.541217615
Arousal,12,HRV,DL,0.637413255,0.519186342
Arousal,12,HRV,GaussianSVM,0.596569614,0.484035933
Arousal,12,HRV,KNN,0.567088766,0.523885192
Arousal,12,HRV,LinearRidge,0.648923249,0.547149734
Arousal,12,HRV,RF,0.614106442,0.549503346
Arousal,12,IMU,DL,0.692411544,0.623411373
Arousal,12,IMU,GaussianSVM,0.710811546,0.654120177
Arousal,12,IMU,KNN,0.614588943,0.564918358
Arousal,12,IMU,LinearRidge,0.709160147,0.646173073
Arousal,12,IMU,RF,0.684747872,0.595546916
Arousal,12,Mask-All,DL,0.769969475,0.736751349
Arousal,12,Mask-All,GaussianSVM,0.763814331,0.715819405
Arousal,12,Mask-All,KNN,0.687857319,0.666690559
Arousal,12,Mask-All,LinearRidge,0.765183747,0.721534029
Arousal,12,Mask-All,RF,0.806599362,0.777679689
Arousal,13,Annotations,DL,0.799285054,0.770167203
Arousal,13,Annotations,GaussianSVM,0.869047619,0.837524178
Arousal,13,Annotations,KNN,0.845238095,0.807983119
Arousal,13,Annotations,LinearRidge,0.869047619,0.837524178
Arousal,13,Annotations,RF,0.845238095,0.816993464
Arousal,13,EMG A,DL,0.806114685,0.773345476
Arousal,13,EMG A,GaussianSVM,0.810383794,0.77157817
Arousal,13,EMG A,KNN,0.770849517,0.732852012
Arousal,13,EMG A,LinearRidge,0.80426008,0.765225231
Arousal,13,EMG A,RF,0.815391143,0.785036675
Arousal,13,EMG C,DL,0.653690919,0.531075525
Arousal,13,EMG C,GaussianSVM,0.663950769,0.569440487
Arousal,13,EMG C,KNN,0.616517637,0.567815646
Arousal,13,EMG C,LinearRidge,0.5860497,0.497913233
Arousal,13,EMG C,RF,0.63266602,0.537813387
Arousal,13,HRV,DL,0.61333863,0.493452637
Arousal,13,HRV,GaussianSVM,0.554308649,0.48213777
Arousal,13,HRV,KNN,0.58032371,0.538221857
Arousal,13,HRV,LinearRidge,0.648890323,0.544617564
Arousal,13,HRV,RF,0.607360606,0.56639704
Arousal,13,IMU,DL,0.656573153,0.602170239
Arousal,13,IMU,GaussianSVM,0.688143525,0.629518095
Arousal,13,IMU,KNN,0.608774377,0.559105295
Arousal,13,IMU,LinearRidge,0.712945438,0.643951215
Arousal,13,IMU,RF,0.684244011,0.621917217
Arousal,13,Mask-All,DL,0.793945762,0.756860826
Arousal,13,Mask-All,GaussianSVM,0.777878051,0.730284484
Arousal,13,Mask-All,KNN,0.696304112,0.676378477
Arousal,13,Mask-All,LinearRidge,0.772384018,0.73189081
Arousal,13,Mask-All,RF,0.80663444,0.776295373
Arousal,14,Annotations,DL,0.7953435,0.75619449
Arousal,14,Annotations,GaussianSVM,0.869047619,0.837524178
Arousal,14,Annotations,KNN,0.857142857,0.82038489
Arousal,14,Annotations,LinearRidge,0.845238095,0.81272509
Arousal,14,Annotations,RF,0.845238095,0.807983119
Arousal,14,EMG A,DL,0.800203567,0.770391693
Arousal,14,EMG A,GaussianSVM,0.800446783,0.758568353
Arousal,14,EMG A,KNN,0.772785035,0.734708162
Arousal,14,EMG A,LinearRidge,0.791512724,0.750963141
Arousal,14,EMG A,RF,0.792200733,0.766827006
Arousal,14,EMG C,DL,0.667800649,0.549013487
Arousal,14,EMG C,GaussianSVM,0.645333674,0.547396555
Arousal,14,EMG C,KNN,0.614437498,0.564856586
Arousal,14,EMG C,LinearRidge,0.594404508,0.510892905
Arousal,14,EMG C,RF,0.616504786,0.52781541
Arousal,14,HRV,DL,0.578979312,0.499487045
Arousal,14,HRV,GaussianSVM,0.559335406,0.486252167
Arousal,14,HRV,KNN,0.577237787,0.531463696
Arousal,14,HRV,LinearRidge,0.625247107,0.517812857
Arousal,14,HRV,RF,0.602620003,0.536585484
Arousal,14,IMU,DL,0.694152953,0.61425708
Arousal,14,IMU,GaussianSVM,0.706007529,0.653420497
Arousal,14,IMU,KNN,0.622596319,0.574148052
Arousal,14,IMU,LinearRidge,0.703161429,0.634666329
Arousal,14,IMU,RF,0.712119531,0.619034586
Arousal,14,Mask-All,DL,0.777954336,0.752971474
Arousal,14,Mask-All,GaussianSVM,0.769131969,0.723903216
Arousal,14,Mask-All,KNN,0.690369889,0.668243059
Arousal,14,Mask-All,LinearRidge,0.766804787,0.726451172
Arousal,14,Mask-All,RF,0.823833283,0.797473026
Arousal,15,Annotations,DL,0.793308977,0.759853119
Arousal,15,Annotations,GaussianSVM,0.869047619,0.837524178
Arousal,15,Annotations,KNN,0.857142857,0.82038489
Arousal,15,Annotations,LinearRidge,0.845238095,0.81272509
Arousal,15,Annotations,RF,0.845238095,0.807983119
Arousal,15,EMG A,DL,0.789678598,0.754770098
Arousal,15,EMG A,GaussianSVM,0.801285731,0.761003561
Arousal,15,EMG A,KNN,0.762196956,0.722582253
Arousal,15,EMG A,LinearRidge,0.788312964,0.749604108
Arousal,15,EMG A,RF,0.80802594,0.786019566
Arousal,15,EMG C,DL,0.654687472,0.562158381
Arousal,15,EMG C,GaussianSVM,0.683116702,0.591728805
Arousal,15,EMG C,KNN,0.631868156,0.587144654
Arousal,15,EMG C,LinearRidge,0.625761216,0.523638771
Arousal,15,EMG C,RF,0.621589873,0.530473934
Arousal,15,HRV,DL,0.592343314,0.500719168
Arousal,15,HRV,GaussianSVM,0.564895373,0.493068153
Arousal,15,HRV,KNN,0.582908575,0.538560343
Arousal,15,HRV,LinearRidge,0.648102701,0.545621239
Arousal,15,HRV,RF,0.613995619,0.55024729
Arousal,15,IMU,DL,0.700785547,0.628476726
Arousal,15,IMU,GaussianSVM,0.711699318,0.647100588
Arousal,15,IMU,KNN,0.623758112,0.573724171
Arousal,15,IMU,LinearRidge,0.707421594,0.641552542
Arousal,15,IMU,RF,0.683321566,0.609578871
Arousal,15,Mask-All,DL,0.771132921,0.730460238
Arousal,15,Mask-All,GaussianSVM,0.77905103,0.733124465
Arousal,15,Mask-All,KNN,0.690471139,0.67027184
Arousal,15,Mask-All,LinearRidge,0.769174204,0.726595007
Arousal,15,Mask-All,RF,0.809515474,0.778851917
Arousal,16,Annotations,DL,0.799906604,0.767557632
Arousal,16,Annotations,GaussianSVM,0.869047619,0.837524178
